metric_name,value,timestamp,request,request_id,rejection_reason,rejection_time,vehicle_id,assignment_time,request_origin,request_destination,origin_stop,destination_stop,estimated_pickup_time,estimated_dropoff_time,waiting_time_mins,in_vehicle_time_mins,passenger_id,origin,stop_id,destination
passenger.walk_time_to_origin_stop,123.00807930709408,2024-10-24 19:46:14,,R557,,,,,,,"{'id': 'f4eef797-7cc8-40d9-be19-879390c36e58', 'lat': 37.20379645, 'lon': 126.8407795}",,,,,,P557,"{'capacity': 10.0, 'capacity_exceeded': False, 'congestion_level': 'low', 'created_at': '2025-03-05T17:32:48.809419', 'current_load': 0.0, 'id': '17f1a065-8d53-422c-a56d-86dc0895aa0e', 'location': {'id': 'f4eef797-7cc8-40d9-be19-879390c36e58', 'lat': 37.20379645, 'lon': 126.8407795}, 'metadata': {'area_id': 'area_3720_12684', 'creation_time': '2024-10-24T07:13:40', 'selection_method': 'coverage_based', 'type': 'destination', 'virtual': True}, 'status': 'active', 'type': 'virtual', 'updated_at': '2025-03-05T17:32:48.809420'}",,
passenger.walk_time_to_origin_stop,168.9163265306123,2024-10-24 19:47:17,,R558,,,,,,,"{'id': 'f4eef797-7cc8-40d9-be19-879390c36e58', 'lat': 37.20379645, 'lon': 126.8407795}",,,,,,P558,"{'capacity': 10.0, 'capacity_exceeded': False, 'congestion_level': 'low', 'created_at': '2025-03-05T17:32:48.809419', 'current_load': 0.0, 'id': '17f1a065-8d53-422c-a56d-86dc0895aa0e', 'location': {'id': 'f4eef797-7cc8-40d9-be19-879390c36e58', 'lat': 37.20379645, 'lon': 126.8407795}, 'metadata': {'area_id': 'area_3720_12684', 'creation_time': '2024-10-24T07:13:40', 'selection_method': 'coverage_based', 'type': 'destination', 'virtual': True}, 'status': 'active', 'type': 'virtual', 'updated_at': '2025-03-05T17:32:48.809420'}",,
vehicle.empty_distance,1585.1256804835396,2024-10-24 19:47:38,,,,,vehicle_7,,,,,,,,,,,,,
vehicle.stops_served,1.0,2024-10-24 19:47:38,,,,,vehicle_7,,,,,,,,,,,,,
passenger.wait_time,22.0,2024-10-24 19:47:39,,R558,,,vehicle_7,,,,,,,,,,P558,,17f1a065-8d53-422c-a56d-86dc0895aa0e,
passenger.wait_time,85.0,2024-10-24 19:47:39,,R557,,,vehicle_7,,,,,,,,,,P557,,17f1a065-8d53-422c-a56d-86dc0895aa0e,
vehicle.occupied_distance,1405.9426804805846,2024-10-24 19:47:40,,,,,vehicle_8,,,,,,,,,,,,,
vehicle.stops_served,1.0,2024-10-24 19:47:40,,,,,vehicle_8,,,,,,,,,,,,,
passenger.ride_time,170.0,2024-10-24 19:47:41,,,,,vehicle_8,,,,,,,,,,P552,,,
request.received,1.0,2024-10-24 19:47:41,"{'_version': '1.0', 'assignment_id': None, 'constraints': None, 'destination': {'id': '06e4d509-f0e7-4d99-99ed-15a39814ca3a', 'lat': 37.21171446423852, 'lon': 126.8201098649838}, 'estimated_price': None, 'id': 'R561', 'origin': {'id': '92f1a478-10dc-49f8-b53e-59d0c5ee3552', 'lat': 37.209337331376986, 'lon': 126.83133056977698}, 'passenger_id': 'P561', 'request_time': '2024-10-24T19:47:41', 'status': 'pending', 'type': 'immediate'}",,,,,,,,,,,,,,,,,
request.assigned,1.0,2024-10-24 19:47:44,,R561,,,vehicle_4,2024-10-24T19:47:44,"{'id': '11799ca9-69c2-44f3-a901-d609743cb1f1', 'lat': 37.20892959, 'lon': 126.8308099}","{'id': 'f86374ad-95af-4392-b2c9-435d559352f1', 'lat': 37.21080306, 'lon': 126.8205232}","{'id': '11799ca9-69c2-44f3-a901-d609743cb1f1', 'lat': 37.20892959, 'lon': 126.8308099}","{'id': 'f86374ad-95af-4392-b2c9-435d559352f1', 'lat': 37.21080306, 'lon': 126.8205232}",2024-10-24T19:49:54.198293,2024-10-24T19:52:32.313158,2.020668833333333,4.905219296295521,,,,
passenger.walk_time_to_origin_stop,10.958163265306125,2024-10-24 19:47:56,,R561,,,,,,,"{'id': '11799ca9-69c2-44f3-a901-d609743cb1f1', 'lat': 37.20892959, 'lon': 126.8308099}",,,,,,P561,"{'capacity': 10.0, 'capacity_exceeded': False, 'congestion_level': 'low', 'created_at': '2025-03-05T17:32:45.553271', 'current_load': 0.0, 'id': '2553530b-e990-4cc5-871d-897d624a578c', 'location': {'id': '11799ca9-69c2-44f3-a901-d609743cb1f1', 'lat': 37.20892959, 'lon': 126.8308099}, 'metadata': {'area_id': 'area_3720_12683', 'creation_time': '2024-10-24T07:10:38', 'selection_method': 'coverage_based', 'type': 'destination', 'virtual': True}, 'status': 'active', 'type': 'virtual', 'updated_at': '2025-03-05T17:32:45.553272'}",,
vehicle.occupied_distance,437.0209976529041,2024-10-24 19:48:32,,,,,vehicle_7,,,,,,,,,,,,,
vehicle.stops_served,1.0,2024-10-24 19:48:32,,,,,vehicle_7,,,,,,,,,,,,,
passenger.ride_time,54.0,2024-10-24 19:48:33,,,,,vehicle_7,,,,,,,,,,P558,,,
request.received,1.0,2024-10-24 19:49:37,"{'_version': '1.0', 'assignment_id': None, 'constraints': None, 'destination': {'id': '1e7340be-56ca-4f73-addb-1cf1792636a7', 'lat': 37.21196848621429, 'lon': 126.8210358702248}, 'estimated_price': None, 'id': 'R562', 'origin': {'id': 'bfc4c530-94fc-441f-8580-f75dc1dc7a62', 'lat': 37.20647323531626, 'lon': 126.83606841533545}, 'passenger_id': 'P562', 'request_time': '2024-10-24T19:49:37', 'status': 'pending', 'type': 'immediate'}",,,,,,,,,,,,,,,,,
request.assigned,1.0,2024-10-24 19:49:40,,R562,,,vehicle_1,2024-10-24T19:49:40,"{'id': '8c44a28b-1967-4402-ac5c-11e00c950fe4', 'lat': 37.20639593, 'lon': 126.8374391}","{'id': '345c63a9-2365-4318-bffc-96fec2a28b53', 'lat': 37.21141554, 'lon': 126.8222724}","{'id': '8c44a28b-1967-4402-ac5c-11e00c950fe4', 'lat': 37.20639593, 'lon': 126.8374391}","{'id': '345c63a9-2365-4318-bffc-96fec2a28b53', 'lat': 37.21141554, 'lon': 126.8222724}",2024-10-24T19:51:20.355437,2024-10-24T19:55:54.965043,0.6393082999999999,4.576826766666667,,,,
