idx,o,d,hour,o_h3,d_h3,o_x,o_y,d_x,d_y,time,pickup_time,dropoff_time
98,21,39,7,8930e039d57ffff,8930e039d03ffff,126.81768416952733,37.19686263584795,126.8229315160526,37.20038667400276,2024-10-24 07:43:29,2024-10-24 07:43:29,2024-10-24 07:48:29.000000000
99,70,71,7,8930e038a13ffff,8930e038a0bffff,126.8365261963872,37.20919265280993,126.83913170617336,37.20495450524684,2024-10-24 07:43:40,2024-10-24 07:43:40,2024-10-24 07:48:40.000000000
100,37,21,7,8930e039d0bffff,8930e039d57ffff,126.82032760447458,37.19868313907687,126.81819313192216,37.19533432453876,2024-10-24 07:44:23,2024-10-24 07:44:23,2024-10-24 07:49:23.000000000
101,64,55,7,8930e038a73ffff,8930e038ad3ffff,126.84143350345958,37.204016665007885,126.82965632974243,37.20948947249308,2024-10-24 07:45:05,2024-10-24 07:45:05,2024-10-24 07:50:05.000000000
102,27,50,7,8930e039d3bffff,8930e038e4fffff,126.82693593848025,37.1996542393617,126.82185654888588,37.21178379689272,2024-10-24 07:45:22,2024-10-24 07:45:22,2024-10-24 07:50:22.000000000
103,17,50,7,8930e039d77ffff,8930e038e4fffff,126.82697434064944,37.19545550959183,126.82253159924775,37.21281236477152,2024-10-24 07:48:35,2024-10-24 07:48:35,2024-10-24 07:53:35.000000000
104,37,51,7,8930e039d0bffff,8930e038e4bffff,126.82233986278824,37.19662766783914,126.82068913455038,37.20995548001038,2024-10-24 07:48:47,2024-10-24 07:48:47,2024-10-24 07:53:47.000000000
105,17,21,7,8930e039d77ffff,8930e039d57ffff,126.8256165165401,37.196683063174675,126.8192602390915,37.19682726170953,2024-10-24 07:49:31,2024-10-24 07:49:31,2024-10-24 07:54:31.000000000
106,10,37,7,8930e039d97ffff,8930e039d0bffff,126.81634217450888,37.21077953789411,126.82192821452004,37.1960133068598,2024-10-24 07:49:52,2024-10-24 07:49:52,2024-10-24 07:55:54.130727050
107,18,50,7,8930e039d73ffff,8930e038e4fffff,126.8249096646475,37.195405017647815,126.82216039298306,37.21032166748056,2024-10-24 07:50:22,2024-10-24 07:50:22,2024-10-24 07:59:23.653934848
108,23,19,7,8930e039d4fffff,8930e039d67ffff,126.82038680048906,37.191102627854825,126.82800577737746,37.19424702642098,2024-10-24 07:51:15,2024-10-24 07:51:15,2024-10-24 07:56:15.000000000
109,21,38,7,8930e039d57ffff,8930e039d07ffff,126.8191201153891,37.19649913934672,126.8252452637436,37.2021814904516,2024-10-24 07:51:18,2024-10-24 07:51:18,2024-10-24 07:56:18.000000000
110,50,38,7,8930e038e4fffff,8930e039d07ffff,126.82145119528673,37.21082192642703,126.82463474182823,37.199845431580506,2024-10-24 07:51:24,2024-10-24 07:51:24,2024-10-24 07:56:24.000000000
111,50,7,7,8930e038e4fffff,8930e039da7ffff,126.82100264469965,37.211637010203646,126.82658335390065,37.207667253395265,2024-10-24 07:51:53,2024-10-24 07:51:53,2024-10-24 07:56:53.000000000
112,51,21,7,8930e038e4bffff,8930e039d57ffff,126.81850692388382,37.21078967826724,126.81757960633512,37.195809199723854,2024-10-24 07:52:27,2024-10-24 07:52:27,2024-10-24 07:58:14.154127602
113,56,50,7,8930e038acfffff,8930e038e4fffff,126.83452405139238,37.20703460562951,126.82362909454922,37.21218520676786,2024-10-24 07:53:45,2024-10-24 07:53:45,2024-10-24 08:00:46.640182266
114,37,12,7,8930e039d0bffff,8930e039d8fffff,126.82067272199514,37.19886852667583,126.8202001891476,37.203930503879704,2024-10-24 07:54:36,2024-10-24 07:54:36,2024-10-24 08:06:57.876935130
115,23,50,7,8930e039d4fffff,8930e038e4fffff,126.819954642309,37.19167825792754,126.82216552486776,37.21162067824634,2024-10-24 07:54:50,2024-10-24 07:54:50,2024-10-24 08:12:40.836168110
116,11,55,7,8930e039d93ffff,8930e038ad3ffff,126.81569446802618,37.20785389685652,126.83020266253148,37.20862395414935,2024-10-24 07:54:54,2024-10-24 07:54:54,2024-10-24 07:59:54.000000000
117,37,19,7,8930e039d0bffff,8930e039d67ffff,126.82157069993644,37.19863475175695,126.82928796334365,37.19426381683473,2024-10-24 07:55:12,2024-10-24 07:55:12,2024-10-24 08:00:12.000000000
118,26,38,7,8930e039d43ffff,8930e039d07ffff,126.81763672668434,37.1930124499422,126.8240121027186,37.20047532144088,2024-10-24 07:55:16,2024-10-24 07:55:16,2024-10-24 08:00:16.000000000
119,50,50,7,8930e038e4fffff,8930e038e4fffff,126.82353336143969,37.21125345273147,126.82141088731808,37.21102128317688,2024-10-24 07:55:24,2024-10-24 07:55:24,2024-10-24 08:00:24.000000000
120,51,18,7,8930e038e4bffff,8930e039d73ffff,126.81917186327884,37.20966495196078,126.8253577735222,37.19547695583889,2024-10-24 07:55:54,2024-10-24 07:55:54,2024-10-24 08:08:56.828886318
121,37,33,7,8930e039d0bffff,8930e039d23ffff,126.82148085468452,37.19722815571295,126.82880015552688,37.20214600534223,2024-10-24 07:57:12,2024-10-24 07:57:12,2024-10-24 08:08:47.061054984
122,50,64,7,8930e038e4fffff,8930e038a73ffff,126.82316681380628,37.211726628040026,126.84187262086564,37.20390434173097,2024-10-24 07:57:41,2024-10-24 07:57:41,2024-10-24 08:07:02.434162928
123,26,48,7,8930e039d43ffff,8930e038e67ffff,126.81795813002884,37.19390154017433,126.83179047218913,37.21470974789565,2024-10-24 07:57:45,2024-10-24 07:57:45,2024-10-24 08:02:45.000000000
124,50,48,7,8930e038e4fffff,8930e038e67ffff,126.82230156877225,37.21143354308515,126.83059677088302,37.21376077602277,2024-10-24 07:58:03,2024-10-24 07:58:03,2024-10-24 08:03:03.000000000
125,71,54,7,8930e038a0bffff,8930e038ad7ffff,126.8398543462704,37.20551942133004,126.8313503800932,37.21033777442441,2024-10-24 07:58:48,2024-10-24 07:58:48,2024-10-24 08:03:48.000000000
126,34,21,8,8930e039d17ffff,8930e039d57ffff,126.82224108220058,37.20344470626146,126.81861064885598,37.19555322583528,2024-10-24 08:00:40,2024-10-24 08:00:40,2024-10-24 08:05:40.000000000
127,55,37,8,8930e038ad3ffff,8930e039d0bffff,126.82921131001522,37.21008505660616,126.82101515422748,37.198391877495936,2024-10-24 08:00:50,2024-10-24 08:00:50,2024-10-24 08:05:50.000000000
